numberOfData, addingTime, findingTime, deletingTime
898, 600, 1000, 1000
899, 500, 1000, 1000
900, 600, 1900, 1600
901, 1000, 1100, 1000
902, 800, 1000, 1000
903, 800, 1900, 1000
904, 900, 1000, 1000
905, 500, 1100, 1100
906, 800, 2200, 1100
907, 400, 1000, 1800
908, 800, 1200, 1000
909, 600, 1200, 1000
910, 500, 900, 3500
911, 500, 1800, 1100
912, 600, 1700, 1000
913, 700, 1200, 1900
914, 800, 1000, 1000
915, 1100, 1400, 1100
916, 600, 2100, 1000
917, 500, 1000, 1100
918, 600, 1100, 900
919, 700, 1900, 900
920, 900, 1100, 1000
921, 500, 1700, 1100
922, 400, 1900, 1000
923, 800, 1200, 1100
924, 500, 1100, 1100
925, 600, 2100, 1600
926, 800, 1200, 1900
927, 400, 1100, 1600
928, 500, 1100, 900
929, 700, 900, 2200
930, 900, 2100, 1800
931, 700, 1200, 1100
932, 600, 1200, 2100
933, 700, 1300, 1100
934, 600, 1000, 1100
935, 1000, 2400, 1600
936, 1000, 1100, 1100
937, 800, 1100, 1100
938, 300, 1800, 1000
939, 600, 1000, 6600
940, 500, 1300, 1000
941, 500, 1900, 1000
942, 900, 1500, 1700
943, 700, 1300, 1100
944, 1000, 2200, 1100
945, 400, 1000, 1000
946, 700, 1000, 900
947, 1200, 1200, 4000
948, 1000, 1200, 2500
949, 800, 1800, 1200
950, 400, 1600, 1100
951, 800, 2600, 2100
952, 800, 2000, 1100
953, 800, 1600, 2200
954, 200, 1200, 1800
955, 1800, 1800, 1000
956, 800, 1300, 1200
957, 1400, 2900, 1100
958, 300, 1100, 1000
959, 500, 1100, 1100
960, 600, 2000, 1100
961, 600, 1200, 1900
962, 700, 1500, 2400
963, 800, 2400, 1000
964, 800, 1000, 1300
965, 600, 1300, 1200
966, 600, 2400, 1500
967, 600, 1200, 2400
968, 300, 1400, 1000
969, 800, 1400, 1000
970, 700, 1200, 2300
971, 500, 1000, 900
972, 500, 900, 900
973, 700, 2600, 2900
974, 900, 1000, 1500
975, 800, 1300, 1100
976, 300, 3100, 1000
977, 700, 1100, 1100
978, 600, 1300, 1100
979, 1000, 2600, 1300
980, 1200, 1400, 1100
981, 500, 1300, 1100
982, 200, 2100, 1200
983, 700, 1400, 1500
984, 1100, 1600, 1500
985, 900, 2200, 1500
986, 800, 1300, 1900
987, 300, 1000, 1100
988, 1000, 1100, 1100
989, 300, 1100, 2000
